tempid,hiveId,reading,timestamp 
1,1,2026-03-29T08:00:00,72.5
2,1,2026-03-29T08:10:00,73.1
3,1,2026-03-29T08:20:00,74.0
4,1,2026-03-29T08:30:00,75.2
5,1,2026-03-29T08:40:00,76.0
6,1,2026-03-29T08:50:00,77.3 
7,1,2026-03-29T09:00:00,78.5
8,1,2026-03-29T09:10:00,79.2
9,1,2026-03-29T09:20:00,80.1
10,1,2026-03-29T09:30:00,81.0
11,1,2026-03-29T09:40:00,82.4
12,1,2026-03-29T09:50:00,83.0
13,1,2026-03-29T10:00:00,84.2
14,1,2026-03-29T10:10:00,85.1
15,1,2026-03-29T10:20:00,85.8
16,1,2026-03-29T10:30:00,86.5
